code,country
ALB,Albania
AND,Andorra
ARG,Argentina
ARM,Armenia
AUS,Australia
AUT,Austria
AZE,Azerbaijan
BGD,Bangladesh
BGR,Bulgaria
BIH,Bosnia Herzegovina
BLR,Belarus
BOL,Bolivia
BRA,Brazil
CAN,Canada
CHE,Switzerland
CHL,Chile
CHN,China
COL,Colombia
CYP,Cyprus
CZE,Czechia
DEU,Germany
DNK,Denmark
ECU,Ecuador
EGY,Egypt
ESP,Spain
EST,Estonia
ETH,Ethiopia
FIN,Finland
FRA,France
GBR,Great Britain
GEO,Georgia
GRC,Greece
GTM,Guatemala
HKG,Hong Kong SAR PRC
HRV,Croatia
HUN,Hungary
IDN,Indonesia
IND,India
IRN,Iran
IRQ,Iraq
ISL,Iceland
ITA,Italy
JPN,Japan
JOR,Jordan
KAZ,Kazakhstan
KEN,Kenya
KGZ,Kyrgyzstan
KOR,South Korea
LBN,Lebanon
LBY,Libya
LTU,Lithuania
LVA,Latvia
MAC,Macao
MDV,Maldives
MEX,Mexico
MKD,North Macedonia
MMR,Myanmar
MNE,Montenegro
MNG,Mongolia
MOR,Morocco
MYS,Malaysia
NGA,Nigeria
NIC,Nicaragua
NIR,Northern Ireland
NLD,Netherlands
NOR,Norway
NZL,New Zealand
PAK,Pakistan
PER,Peru
PHL,Philippines
POL,Poland
PRI,Puerto Rico
PRT,Portugal
ROU,Romania
RUS,Russian Federation
SGP,Singapore
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
THA,Thailand
TJK,Tajikistan
TUN,Tunisia
TUR,Turkey
TWN,Taiwan ROC
UKR,Ukraine
URY,Uruguay
USA,United States
UZB,Uzbekistan
VEN,Venezuela
VNM,Vietnam
ZWE,Zimbabwe
