feature_set,model,auc
set_1,RandomForest,0.8307050579752586
set_1,CatBoost,0.8437926139747489
set_1,LogisticRegression,0.835267071838564
set_1,NaiveBayes,0.8092306426226494
set_2,RandomForest,0.81014429265805
set_2,CatBoost,0.8396457862050495
set_2,LogisticRegression,0.8324082132933183
set_2,NaiveBayes,0.8039774406665885
set_3,RandomForest,0.8231665979669536
set_3,CatBoost,0.8304291762908428
set_3,LogisticRegression,0.8236497618851105
set_3,NaiveBayes,0.8072197422681943
set_4,RandomForest,0.6334772257443693
set_4,CatBoost,0.6683879092996953
set_4,LogisticRegression,0.6612913452558817
set_4,NaiveBayes,0.6638172728804734
set_5,RandomForest,0.8221599245899334
set_5,CatBoost,0.8349652222241206
set_5,LogisticRegression,0.8292057158161177
set_5,NaiveBayes,0.8196644365929722
set_6,RandomForest,0.827061907785815
set_6,CatBoost,0.8311744458564047
set_6,LogisticRegression,0.826013665668295
set_6,NaiveBayes,0.8174273645915824
set_7,RandomForest,0.8275580055378466
set_7,CatBoost,0.8276415440679583
set_7,LogisticRegression,0.8221406742325383
set_7,NaiveBayes,0.8222812419464326
